iter	Passed	Remaining
1379	8870	16840
1380	8874	16830
1381	8882	16826
1382	8889	16821
1383	8893	16810
1384	8900	16805
1385	8905	16795
1386	8912	16790
1387	8919	16784
1388	8923	16774
1389	8932	16771
1390	8939	16766
1391	8944	16757
1392	8951	16752
1393	8959	16749
1394	8964	16739
1395	8971	16734
1396	8978	16728
1397	8982	16718
1398	8990	16715
1399	8994	16704
1400	9001	16698
1401	9009	16694
1402	9013	16684
1403	9021	16680
1404	9025	16670
1405	9033	16665
1406	9041	16662
1407	9048	16656
1408	9055	16651
1409	9059	16641
1410	9068	16639
1411	9072	16629
1412	9080	16624
1413	9087	16618
1414	9091	16608
1415	9100	16607
1416	9108	16602
1417	9115	16597
1418	9119	16587
1419	9127	16583
1420	9132	16574
1421	9139	16569
1422	9146	16564
1423	9151	16554
1424	9159	16551
1425	9164	16542
1426	9171	16537
1427	9179	16532
1428	9186	16527
1429	9193	16522
1430	9197	16512
1431	9204	16506
1432	9211	16501
1433	9215	16491
1434	9223	16486
1435	9227	16476
1436	9234	16470
1437	9243	16468
1438	9248	16458
1439	9254	16453
1440	9261	16447
1441	9266	16437
1442	9274	16434
1443	9279	16424
1444	9286	16419
1445	9293	16413
1446	9297	16404
1447	9306	16401
1448	9313	16396
1449	9320	16391
1450	9325	16381
1451	9333	16378
1452	9337	16367
1453	9344	16363
1454	9351	16357
1455	9356	16347
1456	9364	16343
1457	9368	16333
1458	9375	16329
1459	9382	16323
1460	9387	16314
1461	9394	16309
1462	9399	16298
1463	9405	16293
1464	9414	16290
1465	9421	16285
1466	9428	16279
1467	9432	16269
1468	9440	16264
1469	9444	16255
1470	9451	16249
1471	9458	16244
1472	9466	16239
1473	9474	16236
1474	9481	16230
1475	9485	16221
1476	9490	16211
1477	9497	16206
1478	9502	16196
1479	9509	16191
1480	9515	16185
1481	9522	16179
1482	9527	16170
1483	9534	16164
1484	9541	16159
1485	9545	16149
1486	9552	16143
1487	9559	16137
1488	9563	16128
1489	9571	16123
1490	9578	16118
1491	9586	16114
1492	9590	16104
1493	9598	16099
1494	9605	16095
1495	9610	16085
1496	9617	16080
1497	9625	16077
1498	9633	16072
1499	9641	16068
1500	9646	16059
1501	9653	16055
1502	9658	16045
1503	9665	16040
1504	9672	16035
1505	9680	16031
1506	9685	16023
1507	9693	16018
1508	9697	16008
1509	9702	15999
1510	9707	15990
1511	9711	15980
1512	9718	15975
1513	9725	15969
1514	9730	15959
1515	9738	15957
1516	9746	15952
1517	9750	15943
1518	9758	15938
1519	9766	15934
1520	9771	15925
1521	9778	15920
1522	9785	15915
1523	9790	15905
1524	9798	15902
1525	9806	15897
1526	9813	15892
1527	9817	15883
1528	9826	15880
1529	9830	15870
1530	9837	15865
1531	9844	15859
1532	9849	15850
1533	9858	15847
1534	9862	15837
1535	9869	15832
1536	9876	15827
1537	9881	15817
1538	9889	15814
1539	9896	15808
1540	9903	15802
1541	9907	15793
1542	9915	15788
1543	9919	15778
1544	9926	15773
1545	9933	15768
1546	9938	15758
1547	9946	15754
1548	9950	15745
1549	9957	15739
1550	9964	15734
1551	9969	15725
1552	9977	15721
1553	9982	15712
1554	9989	15706
1555	9996	15701
1556	10001	15692
1557	10008	15686
1558	10012	15677
1559	10019	15672
1560	10027	15668
1561	10034	15662
1562	10041	15656
1563	10046	15647
1564	10054	15643
1565	10058	15634
1566	10065	15628
1567	10072	15622
1568	10076	15613
1569	10084	15608
1570	10089	15599
1571	10096	15593
1572	10102	15587
1573	10107	15578
1574	10114	15573
1575	10119	15564
1576	10126	15559
1577	10134	15554
1578	10139	15546
1579	10146	15540
1580	10153	15535
1581	10160	15530
1582	10165	15521
1583	10173	15517
1584	10180	15511
1585	10188	15506
1586	10192	15497
1587	10201	15495
1588	10209	15490
1589	10216	15484
1590	10220	15475
1591	10229	15472
1592	10233	15463
1593	10241	15458
1594	10248	15452
1595	10252	15442
1596	10260	15439
1597	10264	15429
1598	10272	15424
1599	10278	15418
1600	10283	15408
1601	10291	15404
1602	10295	15395
1603	10302	15389
1604	10310	15385
1605	10317	15380
1606	10322	15370
1607	10329	15365
1608	10337	15361
1609	10342	15352
1610	10349	15347
1611	10356	15341
1612	10363	15336
1613	10371	15332
1614	10379	15327
1615	10386	15322
1616	10390	15312
1617	10394	15303
1618	10402	15298
1619	10409	15292
1620	10413	15282
1621	10422	15280
1622	10427	15271
1623	10434	15266
1624	10442	15261
1625	10449	15256
1626	10456	15251
1627	10461	15242
1628	10468	15236
1629	10472	15226
1630	10476	15217
1631	10487	15217
1632	10491	15207
1633	10499	15202
1634	10508	15199
1635	10512	15190
1636	10519	15184
1637	10524	15175
1638	10531	15170
1639	10539	15166
1640	10547	15161
1641	10554	15156
1642	10562	15152
1643	10567	15143
1644	10576	15141
1645	10583	15136
1646	10588	15127
1647	10596	15123
1648	10600	15113
1649	10608	15108
1650	10612	15099
1651	10620	15095
1652	10628	15091
1653	10636	15085
1654	10643	15080
1655	10647	15071
1656	10652	15062
1657	10656	15052
1658	10663	15047
1659	10670	15041
1660	10675	15032
1661	10683	15028
1662	10690	15023
1663	10695	15014
1664	10702	15008
1665	10709	15004
1666	10717	14999
1667	10722	14990
1668	10729	14985
1669	10737	14981
1670	10744	14976
1671	10749	14967
1672	10754	14958
1673	10758	14949
1674	10767	14945
