iter	F1	Logloss
853	0.7919722498	0.327368871
854	0.7920424637	0.3273322448
855	0.7920518425	0.3272495271
856	0.7920647069	0.3272129009
857	0.7921505145	0.3271816833
858	0.7922301017	0.3271125167
859	0.7922080782	0.3270781245
860	0.7922670734	0.3269784753
861	0.7923177729	0.3269350588
862	0.7923580906	0.3269010781
863	0.7924931323	0.3268633055
864	0.7925749769	0.3268153915
865	0.7925876582	0.3267476359
866	0.7926489534	0.3267028085
867	0.7926848737	0.326666241
868	0.7927634296	0.3266347295
869	0.7928162043	0.3266026595
870	0.7928027133	0.3265686201
871	0.7928407051	0.3265356388
872	0.7928913945	0.3264836977
873	0.793073269	0.3264208217
874	0.7930950965	0.3263522431
875	0.7931324897	0.326302389
876	0.7931279347	0.3262730234
877	0.7931323006	0.3262314588
878	0.7932188463	0.3261715223
879	0.7932672461	0.326106765
880	0.7933116479	0.3260634366
